ID,Latitude,Longtitude,Province,District,Commune,Sub-regional,Plot,Lot,Site,Forest owner,Land type,Original resources of forest,Date,Priority,Contractor,Status
12,11.3317,108.203603,Lam Dong,Di Linh,Bao Thuan,743,5,3,Bao Thuan,Forestry One Member Limited Liability Company Bao Thuan,Mixed natural bamboo forest,Natural forest,2/18/2018 0:00,Low,,Not Verified
13,11.3933,108.121686,Lam Dong,Di Linh,Gia Bac,719,4,2,Gia Bac village,Forestry One Member Limited Liability Company Di Linh,Medium evergreen broad-leaved natural forest,Natural forest,3/2/2018 0:00,Low,,Not Verified
14,11.4685,108.021263,Lam Dong,Di Linh,Lien Dam,686A,3,20,Lien Dam,Group Joint Stock Company Tan Mai,Poor coniferous natural forest,Natural forest,3/26/2018 0:00,High,,Not Verified
15,11.4687,108.02159,Lam Dong,Di Linh,Lien Dam,686A,3,25,Lien Dam,Group Joint Stock Company Tan Mai,Other plantation forest,Plantation forest,3/26/2018 0:00,High,,Not Verified
16,11.4918,108.251384,Lam Dong,Di Linh,Tam Bo,679,6,1,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Mixed natural bamboo forest,Natural forest,3/26/2018 0:00,Low,K'Bron,Not Verified
17,11.4797,108.148828,Lam Dong,Di Linh,Bao Thuan,682,13,2,Bao Thuan,Forestry One Member Limited Liability Company Bao Thuan,Medium evergreen broad-leaved natural forest,Natural forest,3/26/2018 0:00,Low,K' Br×m ( L×m),Not Verified
18,11.4603,108.233068,Lam Dong,Di Linh,Tam Bo,701,5,4,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Mixed natural bamboo forest,Natural forest,3/26/2018 0:00,Low,,Not Verified
19,11.3755,108.159945,Lam Dong,Di Linh,Bao Thuan,722,11,1,Bao Thuan,Forestry One Member Limited Liability Company Bao Thuan,Mixed natural bamboo forest,Natural forest,3/26/2018 0:00,Low,K' Nhªs,Not Verified
20,11.7369,107.920193,Lam Dong,Di Linh,Dinh Trang Thuong,612,4,32,Dinh Trang Thuong,Board of protection forest management Tan Thuong,The planted timber forest has no reserve,Plantation forest,3/26/2018 0:00,Low,,Not Verified
21,11.7368,107.920194,Lam Dong,Di Linh,Dinh Trang Thuong,612,4,33,Dinh Trang Thuong,Private enterprise Tan Minh,The planted timber forest has no reserve,Plantation forest,3/26/2018 0:00,Low,,Not Verified
22,11.655,108.211384,Lam Dong,Di Linh,Gia Hiep,636A,1,6,Gia Hiệp,Forestry One Member Limited Liability Company Tam Hiep,The planted timber forest has no reserve,Plantation forest,3/26/2018 0:00,Medium,,Not Verified
23,11.5675,108.216224,Lam Dong,Di Linh,Tam Bo,666,9,3,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Other plantation forest,Plantation forest,3/26/2018 0:00,Medium,Ya Teo,Not Verified
24,11.495,108.199381,Lam Dong,Di Linh,Tam Bo,675,8,7,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Natural poor broadleaf and poor coniferous forests,Natural forest,4/7/2018 0:00,Low,,Not Verified
25,11.8036,107.948896,Lam Dong,Di Linh,Dinh Trang Thuong,607,4,16,Dinh Trang Thuong,Board of protection forest management Tan Thuong,Mixed natural bamboo forest,Natural forest,4/19/2018 0:00,Low,K'Tµi,Not Verified
26,11.8008,107.95627,Lam Dong,Di Linh,Dinh Trang Thuong,607,5,15,Dinh Trang Thuong,Group Joint Stock Company Tan Mai,Other plantation forest,Plantation forest,4/19/2018 0:00,Low,,Not Verified
27,11.7974,107.918029,Lam Dong,Di Linh,Dinh Trang Thuong,606,4,16,Dinh Trang Thuong,Commune People's Committee,Natural bamboo forest,Natural forest,4/19/2018 0:00,Low,,Not Verified
28,11.7878,107.927551,Lam Dong,Di Linh,Dinh Trang Thuong,606,8,4,Dinh Trang Thuong,Board of protection forest management Tan Thuong,Mixed natural bamboo forest,Natural forest,4/19/2018 0:00,Low,K' Lµi,Not Verified
29,11.7871,107.921521,Lam Dong,Di Linh,Dinh Trang Thuong,606,4,14,Dinh Trang Thuong,Board of protection forest management Tan Thuong,Natural bambusa procera forest,Natural forest,4/19/2018 0:00,Low,K' Ch¸o,Not Verified
30,11.7862,107.922842,Lam Dong,Di Linh,Dinh Trang Thuong,606,7,4,Dinh Trang Thuong,Board of protection forest management Tan Thuong,Mixed natural bamboo forest,Natural forest,4/19/2018 0:00,High,K' Ch¸o,Not Verified
31,11.7712,107.933004,Lam Dong,Di Linh,Dinh Trang Thuong,606,5,4,Dinh Trang Thuong,Board of protection forest management Tan Thuong,Mixed natural bamboo forest,Natural forest,4/19/2018 0:00,Medium,K' Lµi,Not Verified
32,11.7671,107.914705,Lam Dong,Di Linh,Dinh Trang Thuong,612,1,1,Dinh Trang Thuong,Board of protection forest management Tan Thuong,Mixed natural bamboo forest,Natural forest,4/19/2018 0:00,Medium,K' T©n,Not Verified
33,11.7611,107.988767,Lam Dong,Di Linh,Dinh Trang Thuong,609,2,7,Dinh Trang Thuong,Board of protection forest management Tan Thuong,Mixed natural bamboo forest,Natural forest,4/19/2018 0:00,Medium,Nguyễn Quang Tuấn,Not Verified
34,11.5307,108.032699,Lam Dong,Di Linh,Lien Dam,660A,2,4,Lien Dam village,Forestry One Member Limited Liability Company Di Linh,Other plantation forest,Plantation forest,4/19/2018 0:00,Low,BCH QS Huyện Di Linh,Not Verified
35,11.5267,108.095266,Lam Dong,Di Linh,Bao Thuan,663,4,9,Bao Thuan,Group Joint Stock Company Tan Mai,Other plantation forest,Plantation forest,4/19/2018 0:00,Medium,,Not Verified
36,11.4587,107.999242,Lam Dong,Di Linh,Son Dien,687A,2,9,Son Dien,BQL RPH Hũa Bắc - Hũa Nam,Mixed natural bamboo forest,Natural forest,4/19/2018 0:00,Low,K' Gíp,Not Verified
37,11.4084,108.054222,Lam Dong,Di Linh,Son Dien,709B,2,21,Son Dien village,Forestry One Member Limited Liability Company Di Linh,Other plantation forest,Plantation forest,4/19/2018 0:00,Low,K' Minh,Not Verified
38,11.4613,108.111822,Lam Dong,Di Linh,Bao Thuan,697,7,4,Bao Thuan,Forestry One Member Limited Liability Company Bao Thuan,Poor deciduous broadleaf natural forest,Natural forest,5/1/2018 0:00,Low,K'Brªu,Not Verified
39,11.4506,108.005659,Lam Dong,Di Linh,Son Dien,687A,2,25,Son Dien,BQL RPH Hũa Bắc - Hũa Nam,Mixed natural bamboo forest,Natural forest,5/1/2018 0:00,Low,K' Gíp,Not Verified
40,11.4372,108.10782,Lam Dong,Di Linh,Gung Re,696,6,3,Gung Re village,Forestry One Member Limited Liability Company Di Linh,Medium evergreen broad-leaved natural forest,Natural forest,5/1/2018 0:00,Low,,Not Verified
41,11.4316,107.986628,Lam Dong,Di Linh,Hoa Bac,692,5,6,Trang Tre,BQL RPH Hũa Bắc - Hũa Nam,Other plantation forest,Plantation forest,5/1/2018 0:00,Low,Hoàng Việt Phúc,Not Verified
42,11.3677,107.998225,Lam Dong,Di Linh,Son Dien,715,3,6,Son Dien village,Forestry One Member Limited Liability Company Di Linh,Mixed natural bamboo forest,Natural forest,5/1/2018 0:00,High,K' Deng,Not Verified
43,11.3373,108.055022,Lam Dong,Di Linh,Gia Bac,733,5,5,Gia Bac village,Forestry One Member Limited Liability Company Di Linh,Mixed natural bamboo forest,Natural forest,5/1/2018 0:00,Low,K' T­,Not Verified
44,11.3358,108.052021,Lam Dong,Di Linh,Son Dien,717,5,5,Son Dien village,Forestry One Member Limited Liability Company Di Linh,Poor evergreen broad-leaved natural forest,Natural forest,5/1/2018 0:00,Medium,K' Iªng,Not Verified
45,11.3295,108.039573,Lam Dong,Di Linh,Son Dien,717,8,6,Son Dien village,Forestry One Member Limited Liability Company Di Linh,Mixed natural bamboo forest,Natural forest,5/1/2018 0:00,Medium,K' L_o,Not Verified
46,11.3177,108.097737,Lam Dong,Di Linh,Gia Bac,736,7,15,Gia Bac village,Forestry One Member Limited Liability Company Phat Lam,Other plantation forest,Plantation forest,5/1/2018 0:00,Medium,,Not Verified
47,11.3136,108.065874,Lam Dong,Di Linh,Gia Bac,735,1,9,Gia Bac village,Forestry One Member Limited Liability Company Di Linh,Natural bambusa procera forest,Natural forest,5/1/2018 0:00,Low,K' T¬,Not Verified
48,11.3109,108.093964,Lam Dong,Di Linh,Gia Bac,736,7,41,Gia Bac village,Forestry One Member Limited Liability Company Di Linh,Natural bambusa procera forest,Natural forest,5/1/2018 0:00,Medium,K' Lít,Not Verified
49,11.3082,108.062927,Lam Dong,Di Linh,Gia Bac,735,3,18,Gia Bac,Community of  Da Hong village,Mixed natural bamboo forest,Natural forest,5/1/2018 0:00,Low,,Not Verified
50,11.3076,108.091848,Lam Dong,Di Linh,Gia Bac,735,2,31,Da Hong village,Commune People's Committee,Other plantation forest,Plantation forest,5/1/2018 0:00,High,,Not Verified
51,11.2867,108.052282,Lam Dong,Di Linh,Son Dien,734,8,3,Son Dien village,Limited Liability Company Tien Le,Mixed natural bamboo forest,Natural forest,5/1/2018 0:00,Low,,Not Verified
52,11.2804,108.103656,Lam Dong,Di Linh,Gia Bac,738,6,4,Gia Bac village,Forestry One Member Limited Liability Company Di Linh,Mixed natural bamboo forest,Natural forest,5/1/2018 0:00,Medium,K' Gem,Not Verified
53,11.4707,108.142697,Lam Dong,Di Linh,Bao Thuan,698,4,2,Bao Thuan,Forestry One Member Limited Liability Company Bao Thuan,Poor evergreen broad-leaved natural forest,Natural forest,5/1/2018 0:00,Low,,Not Verified
54,11.434,108.264239,Lam Dong,Di Linh,Tam Bo,702,5,1,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Mixed natural bamboo forest,Natural forest,5/1/2018 0:00,Low,,Not Verified
55,11.6229,108.021808,Lam Dong,Di Linh,Tan Chau,621B,3,2,Tan Chau,Board of protection forest management Tan Thuong,Other plantation forest,Plantation forest,5/1/2018 0:00,Low,,Not Verified
56,11.5735,108.171322,Lam Dong,Di Linh,Tam Bo,645,11,11,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Recovered evergreen broad-leaved natural forest,Natural forest,5/1/2018 0:00,High,K'Héoh,Not Verified
57,11.5548,108.185929,Lam Dong,Di Linh,Tam Bo,666,12,13,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,The planted timber forest has no reserve,Plantation forest,5/1/2018 0:00,Low,,Not Verified
58,11.4839,108.207646,Lam Dong,Di Linh,Tam Bo,680,4,5,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Natural poor broadleaf and poor coniferous forests,Natural forest,5/1/2018 0:00,Medium,,Not Verified
59,11.3997,108.277869,Lam Dong,Di Linh,Tam Bo,727,5,1,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Mixed natural bamboo forest,Natural forest,5/1/2018 0:00,Medium,,Not Verified
60,11.7867,107.937342,Lam Dong,Di Linh,Dinh Trang Thuong,607,6,6,Dinh Trang Thuong,Board of protection forest management Tan Thuong,Poor evergreen broad-leaved natural forest,Natural forest,5/25/2018 0:00,Low,K' Nam,Not Verified
61,11.6609,107.979871,Lam Dong,Di Linh,Tan Lam,623,2,2,Village 6,Commune People's Committee,Other plantation forest,Plantation forest,5/25/2018 0:00,Low,,Not Verified
62,11.5494,108.220042,Lam Dong,Di Linh,Tam Bo,671,7,3,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Other plantation forest,Plantation forest,5/25/2018 0:00,Low,K'Bin,Not Verified
63,11.4308,108.028495,Lam Dong,Di Linh,Son Dien,693,5,3,Son Dien village,Forestry One Member Limited Liability Company Di Linh,Medium evergreen broad-leaved natural forest,Natural forest,5/25/2018 0:00,Low,K' B_a,Not Verified
64,11.4234,107.956836,Lam Dong,Di Linh,Hoa Bac,711,2,2,Hoa Bac 2,Private enterprise Le Tam,The planted timber forest has no reserve,Plantation forest,5/25/2018 0:00,Medium,,Not Verified
65,11.3175,108.041772,Lam Dong,Di Linh,Son Dien,734,1,11,Son Dien village,Limited Liability Company Vinh Bao,Natural bambusa procera forest,Natural forest,5/25/2018 0:00,Medium,,Not Verified
66,11.4995,107.971321,Lam Dong,Di Linh,Hoa Trung,659A,1,2,Hoa Trung,BQL RPH Hũa Bắc - Hũa Nam,Other plantation forest,Plantation forest,6/6/2018 0:00,Low,¦ng Van T_,Not Verified
67,11.4307,108.028605,Lam Dong,Di Linh,Son Dien,693,5,3,Son Dien village,Forestry One Member Limited Liability Company Di Linh,Medium evergreen broad-leaved natural forest,Natural forest,6/6/2018 0:00,Medium,K' B_a,Not Verified
68,11.3464,108.091158,Lam Dong,Di Linh,Gia Bac,732,3,22,Gia Bac village,Forestry One Member Limited Liability Company Di Linh,Natural bambusa procera forest,Natural forest,6/6/2018 0:00,Medium,K' B_c,Not Verified
69,11.3295,108.022275,Lam Dong,Di Linh,Son Dien,717,6,15,Son Dien village,Forestry One Member Limited Liability Company Di Linh,Poor evergreen broad-leaved natural forest,Natural forest,6/6/2018 0:00,Medium,K' Ph_t,Not Verified
70,11.288,108.083319,Lam Dong,Di Linh,Gia Bac,738,5,1,Gia Bac village,Forestry One Member Limited Liability Company Di Linh,Mixed natural bamboo forest,Natural forest,6/6/2018 0:00,Low,K' SÎo,Not Verified
71,11.7961,107.932729,Lam Dong,Di Linh,Dinh Trang Thuong,607,2,8,Dinh Trang Thuong,Board of protection forest management Tan Thuong,Mixed natural bamboo forest,Natural forest,6/18/2018 0:00,Medium,,Not Verified
72,11.7548,107.978306,Lam Dong,Di Linh,Dinh Trang Thuong,609,3,22,Village 3,Commune People's Committee,Natural bamboo forest,Natural forest,6/18/2018 0:00,Low,,Not Verified
73,11.5195,108.133337,Lam Dong,Di Linh,Bao Thuan,673,4,5,Bao Thuan,Forestry One Member Limited Liability Company Bao Thuan,Other plantation forest,Plantation forest,6/18/2018 0:00,Low,,Not Verified
74,11.4987,107.982382,Lam Dong,Di Linh,Hoa Trung,659B,4,19,Hoa Trung,Group Joint Stock Company Tan Mai,Other plantation forest,Plantation forest,6/18/2018 0:00,Low,,Not Verified
75,11.4726,108.133849,Lam Dong,Di Linh,Bao Thuan,697,5,5,Bao Thuan,Forestry One Member Limited Liability Company Bao Thuan,Natural poor broadleaf and poor coniferous forests,Natural forest,6/18/2018 0:00,Medium,,Not Verified
76,11.428,108.063529,Lam Dong,Di Linh,Gung Re,695,7,14,Gung Re village,Forestry One Member Limited Liability Company Di Linh,Medium coniferous natural forest,Natural forest,6/18/2018 0:00,Medium,,Not Verified
77,11.4124,108.074884,Lam Dong,Di Linh,Gia Bac,708,1,5,Gia Bac village,Forestry One Member Limited Liability Company Di Linh,Recovered evergreen broad-leaved natural forest,Natural forest,6/18/2018 0:00,Low,,Not Verified
78,11.2785,108.0773,Lam Dong,Di Linh,Gia Bac,738,4,9,Gia Bac village,Forestry One Member Limited Liability Company Di Linh,Natural bambusa procera forest,Natural forest,6/18/2018 0:00,Medium,,Not Verified
79,11.7969,107.908346,Lam Dong,Di Linh,Dinh Trang Thuong,606,2,10,Dinh Trang Thuong,Board of protection forest management Tan Thuong,Natural bambusa procera forest,Natural forest,6/30/2018 0:00,Medium,K'b¤NG,Not Verified
80,11.6022,108.142652,Lam Dong,Di Linh,Dinh Lac,647A,1,18,Ka Quynh village,Commune People's Committee,Other plantation forest,Plantation forest,6/30/2018 0:00,Medium,,Not Verified
81,11.5214,108.233921,Lam Dong,Di Linh,Tam Bo,677,1,9,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Mixed natural bamboo forest,Natural forest,6/30/2018 0:00,Low,Ya Bieu,Not Verified
82,11.5195,108.133337,Lam Dong,Di Linh,Bao Thuan,673,4,5,Bao Thuan,Forestry One Member Limited Liability Company Bao Thuan,Other plantation forest,Plantation forest,6/30/2018 0:00,Low,,Not Verified
83,11.4934,108.0133,Lam Dong,Di Linh,Lien Dam,660B,5,25,Lien Dam village,Forestry One Member Limited Liability Company Di Linh,Other plantation forest,Plantation forest,6/30/2018 0:00,Low,BCH QS Huyện Di Linh,Not Verified
84,11.4085,108.054208,Lam Dong,Di Linh,Son Dien,709B,2,21,Son Dien village,Forestry One Member Limited Liability Company Di Linh,Other plantation forest,Plantation forest,6/30/2018 0:00,Medium,K' Minh,Not Verified
85,11.3079,108.091772,Lam Dong,Di Linh,Gia Bac,735,2,31,Da Hong village,Commune People's Committee,Other plantation forest,Plantation forest,6/30/2018 0:00,Low,,Not Verified
86,11.3074,108.090642,Lam Dong,Di Linh,Gia Bac,735,2,33,Da Hong village,Commune People's Committee,Other plantation forest,Plantation forest,6/30/2018 0:00,Low,,Not Verified
87,11.2849,108.090663,Lam Dong,Di Linh,Gia Bac,738,3,17,Gia Bac village,Forestry One Member Limited Liability Company Di Linh,The planted timber forest has no reserve,Plantation forest,6/30/2018 0:00,Low,,Not Verified
88,11.6026,108.142149,Lam Dong,Di Linh,Dinh Lac,647A,1,18,Ka Quynh village,Commune People's Committee,Other plantation forest,Plantation forest,7/12/2018 0:00,Low,,Not Verified
89,11.4934,108.013369,Lam Dong,Di Linh,Lien Dam,660B,5,25,Lien Dam village,Forestry One Member Limited Liability Company Di Linh,Other plantation forest,Plantation forest,7/12/2018 0:00,Low,BCH QS Huyện Di Linh,Not Verified
90,11.4155,108.211418,Lam Dong,Di Linh,Tam Bo,704,6,6,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Mixed natural bamboo forest,Natural forest,7/12/2018 0:00,Low,,Not Verified
91,11.4155,108.28234,Lam Dong,Di Linh,Tam Bo,725,6,10,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Medium deciduous broadleaf natural forest,Natural forest,7/12/2018 0:00,Low,,Not Verified
92,11.4099,108.074515,Lam Dong,Di Linh,Gia Bac,708,1,5,Gia Bac village,Forestry One Member Limited Liability Company Di Linh,Recovered evergreen broad-leaved natural forest,Natural forest,7/12/2018 0:00,Medium,K ' §ång,Not Verified
93,11.4085,108.054258,Lam Dong,Di Linh,Son Dien,709B,2,21,Son Dien village,Forestry One Member Limited Liability Company Di Linh,Other plantation forest,Plantation forest,7/12/2018 0:00,Low,K' Minh,Not Verified
94,11.4075,108.05576,Lam Dong,Di Linh,Son Dien,709B,4,4,Son Dien village,Forestry One Member Limited Liability Company Di Linh,Other plantation forest,Plantation forest,7/12/2018 0:00,Medium,K ' B«ng,Not Verified
95,11.3859,108.254919,Lam Dong,Di Linh,Tam Bo,727,6,1,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Mixed natural bamboo forest,Natural forest,7/12/2018 0:00,Low,,Not Verified
96,11.3796,108.078076,Lam Dong,Di Linh,Gia Bac,708,11,17,Gia Bac village,Forestry One Member Limited Liability Company Di Linh,Medium coniferous natural forest,Natural forest,7/12/2018 0:00,Medium,K 'V×n,Not Verified
97,11.377,108.070787,Lam Dong,Di Linh,Gia Bac,708,10,25,Gia Bac village,Forestry One Member Limited Liability Company Di Linh,Natural poor broadleaf and poor coniferous forests,Natural forest,7/12/2018 0:00,Medium,K 'ThuÇn,Not Verified
98,11.3421,108.141179,Lam Dong,Di Linh,Gia Bac,731,7,4,Gia Bac village,Forestry One Member Limited Liability Company Di Linh,Mixed natural bamboo forest,Natural forest,7/12/2018 0:00,Low,,Not Verified
99,11.2406,108.056414,Lam Dong,Di Linh,Son Dien,737A,6,7,Son Dien village,Forestry One Member Limited Liability Company Di Linh,Poor evergreen broad-leaved natural forest,Natural forest,7/12/2018 0:00,Low,K' NÊm,Not Verified
100,11.5121,108.058678,Lam Dong,Di Linh,Gung Re,661A,2,12,Gung Re,Group Joint Stock Company Tan Mai,Very poor evergreen broad-leaved natural forest,Natural forest,8/5/2018 0:00,Low,,Not Verified
101,11.5115,108.24931,Lam Dong,Di Linh,Tam Bo,677,4,3,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Mixed natural bamboo forest,Natural forest,8/5/2018 0:00,High,K'Briu,Not Verified
102,11.5054,108.059918,Lam Dong,Di Linh,Gung Re,661A,5,48,Gung Re village,Forestry One Member Limited Liability Company Di Linh,Other plantation forest,Plantation forest,8/5/2018 0:00,Low,K' Trung,Not Verified
103,11.4964,108.225996,Lam Dong,Di Linh,Tam Bo,680,1,6,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Mixed natural bamboo forest,Natural forest,8/5/2018 0:00,Medium,,Not Verified
104,11.4471,108.124956,Lam Dong,Di Linh,Bao Thuan,698,8,4,Bao Thuan,Forestry One Member Limited Liability Company Bao Thuan,Poor coniferous natural forest,Natural forest,8/5/2018 0:00,Low,BCH QS Huyện Di Linh,Not Verified
105,11.4269,108.120284,Lam Dong,Di Linh,Bao Thuan,706,6,7,Bao Thuan,Forestry One Member Limited Liability Company Bao Thuan,Other plantation forest,Plantation forest,8/5/2018 0:00,Medium,,Not Verified
106,11.4262,108.009926,Lam Dong,Di Linh,Son Dien,687A,6,11,Son Dien,BQL RPH Hũa Bắc - Hũa Nam,Medium evergreen broad-leaved natural forest,Natural forest,8/5/2018 0:00,Low,K' Gíp,Not Verified
107,11.3749,108.224444,Lam Dong,Di Linh,Tam Bo,724,6,9,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Mixed natural bamboo forest,Natural forest,8/5/2018 0:00,Low,,Not Verified
108,11.3346,108.053562,Lam Dong,Di Linh,Gia Bac,733,5,7,Gia Bac village,Forestry One Member Limited Liability Company Di Linh,Natural bambusa procera forest,Natural forest,8/5/2018 0:00,Low,K' T­,Not Verified
109,11.3333,108.149996,Lam Dong,Di Linh,Gia Bac,731,8,2,Gia Bac village,Forestry One Member Limited Liability Company Di Linh,Mixed natural bamboo forest,Natural forest,8/5/2018 0:00,Low,,Not Verified
110,11.3304,108.048415,Lam Dong,Di Linh,Son Dien,717,7,6,Son Dien village,Forestry One Member Limited Liability Company Di Linh,Natural bambusa procera forest,Natural forest,8/5/2018 0:00,High,K' NÊm,Not Verified
111,11.3243,108.056339,Lam Dong,Di Linh,Gia Bac,733,12,7,Gia Bac village,Forestry One Member Limited Liability Company Di Linh,Mixed natural bamboo forest,Natural forest,8/5/2018 0:00,Medium,K' §_p,Not Verified
112,11.3079,108.092379,Lam Dong,Di Linh,Gia Bac,735,2,31,Da Hong village,Commune People's Committee,Other plantation forest,Plantation forest,8/5/2018 0:00,High,,Not Verified
113,11.2908,108.051653,Lam Dong,Di Linh,Son Dien,734,8,2,Son Dien village,Limited Liability Company Tien Le,Natural bambusa procera forest,Natural forest,8/5/2018 0:00,Low,,Not Verified
114,11.2387,108.055531,Lam Dong,Di Linh,Son Dien,737A,6,7,Son Dien village,Forestry One Member Limited Liability Company Di Linh,Poor evergreen broad-leaved natural forest,Natural forest,8/5/2018 0:00,Medium,K' NÊm,Not Verified
115,11.8042,107.956769,Lam Dong,Di Linh,Dinh Trang Thuong,607,1,12,Dinh Trang Thuong,Group Joint Stock Company Tan Mai,Other plantation forest,Plantation forest,9/10/2018 0:00,Low,,Not Verified
116,11.5493,108.218987,Lam Dong,Di Linh,Tam Bo,671,7,3,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Other plantation forest,Plantation forest,9/10/2018 0:00,Low,K'Bin,Not Verified
117,11.5197,108.235134,Lam Dong,Di Linh,Tam Bo,677,1,13,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Mixed natural bamboo forest,Natural forest,9/10/2018 0:00,Low,Ya Bieu,Not Verified
118,11.5081,108.045294,Lam Dong,Di Linh,Gung Re,661A,4,13,Gung Re,Group Joint Stock Company Tan Mai,Other plantation forest,Plantation forest,9/10/2018 0:00,Low,,Not Verified
119,11.4769,108.246628,Lam Dong,Di Linh,Tam Bo,701,2,2,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Mixed natural bamboo forest,Natural forest,9/10/2018 0:00,Low,,Not Verified
120,11.4482,108.06346,Lam Dong,Di Linh,Gung Re,694,4,4,Gung Re village,Forestry One Member Limited Liability Company Di Linh,Natural medium broadleaf and medium coniferous forests,Natural forest,9/10/2018 0:00,Medium,K' Liªm,Not Verified
121,11.4342,107.997445,Lam Dong,Di Linh,Hoa Bac,692,3,16,Trang Tre,BQL RPH Hũa Bắc - Hũa Nam,Medium coniferous natural forest,Natural forest,9/10/2018 0:00,Low,K' Briu,Not Verified
122,11.4272,108.261971,Lam Dong,Di Linh,Tam Bo,702,5,2,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Poor evergreen broad-leaved natural forest,Natural forest,9/10/2018 0:00,Low,,Not Verified
123,11.4241,108.255104,Lam Dong,Di Linh,Tam Bo,702,6,5,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Poor evergreen broad-leaved natural forest,Natural forest,9/10/2018 0:00,Low,,Not Verified
124,11.4188,108.208544,Lam Dong,Di Linh,Tam Bo,704,6,4,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Poor evergreen broad-leaved natural forest,Natural forest,9/10/2018 0:00,Low,,Not Verified
125,11.4156,108.055498,Lam Dong,Di Linh,Gung Re,709A,3,6,Gung Re village,Forestry One Member Limited Liability Company Di Linh,Poor evergreen broad-leaved natural forest,Natural forest,9/10/2018 0:00,Low,K' BRim (Gaoh),Not Verified
126,11.4098,108.298974,Lam Dong,Di Linh,Tam Bo,726,6,2,Tam Bo,Forestry One Member Limited Liability Company Tam Hiep,Mixed natural bamboo forest,Natural forest,9/10/2018 0:00,Medium,,Not Verified
